URL,Tipo pagina,Intento principale,Intento secondario,Qualità contenuto,SEO,UX,CTA,Immagini,Link interni,Schema,Problemi,Intervento consigliato,Priorità
/,Home,sgomberi Catania,invio foto e contatto,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Hub e guide,Organization WebSite,nessun blocco rilevato,monitorare CLS e aggiornare link WhatsApp con testo,Alta
/servizi-2/,Hub servizi,servizi sgombero Catania,ritiro e smaltimento,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Servizi e guide,Organization WebSite,source generator assente,conservare come hub canonico,Alta
/come-funziona/,Processo,come funziona sgombero,documenti e accessi,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Home servizi guide,Organization WebSite,nessun blocco rilevato,aggiungere collegamenti dalle nuove guide,Alta
/zone-servite/,Local SEO,zone servite Catania,comuni provincia,Media,Presente,Alta,WhatsApp + telefono,Responsive WebP,Home servizi Catania,Organization WebSite,evitare pagine comune duplicate,arricchire solo con dati verificati,Alta
/sgombero-abitazioni/,Servizio,sgombero abitazioni,appartamenti e case,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Hub guide contatti,Organization WebSite,nessun blocco rilevato,link a guida preparazione,Media
/ritiro-mobili-usati/,Servizio,ritiro mobili usati,recupero e valutazione,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Acquisto smaltimento guide,Organization WebSite,distinguere sempre acquisto da ritiro,rafforzare FAQ economiche,Alta
/smaltimento-mobili/,Servizio,smaltimento mobili,materiali non recuperabili,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Servizi come-funziona,Organization WebSite,claim ambientali da documentare,usare formulazioni prudenti,Alta
/guide/costo-sgombero/,Guida,costo sgombero,volume accessi recupero,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Home come-funziona,Article BreadcrumbList,nessun blocco rilevato,aggiungere link alla nuova guida accessi,Media
/guide/foto-per-valutazione/,Guida,foto per preventivo sgombero,video e informazioni,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Home come-funziona,Article BreadcrumbList,nessun blocco rilevato,collegare da contact,Media
/contact/,Contatto,contatti sgomberi Catania,WhatsApp e telefono,Alta,Presente,Alta,WhatsApp + telefono,Responsive WebP,Footer e CTA,Organization WebSite,nessun form backend,restare su canali verificati,Alta
/privacy/,Legale,privacy,informativa trattamento,Alta,Presente,Media,telefono,No image,Footer,WebSite,contenuto da verificare legalmente,revisione con titolare,Alta
/cookie-policy/,Legale,cookie policy,preferenze tecniche,Alta,Presente,Media,telefono,No image,Footer,WebSite,contenuto da verificare legalmente,revisione con titolare,Alta
/guide/,Opportunità,guide pratiche,accessi tempi materiali,Da creare,Da misurare,Da creare,WhatsApp,Da definire,Hub guide,Da definire,manca route canonica /guide/,valutare redirect o hub dedicato,Media
/guide/sgombero-gratuito/,Opportunità,sgombero gratuito,condizioni compensazione,Da creare,Da misurare,Da creare,WhatsApp,Da definire,sgomero gratis come-funziona,Article,non duplicare pagina esistente,creare solo se distinta,Media
/guide/accesso-senza-ascensore/,Opportunità,sgombero senza ascensore,piano scale parcheggio,Da creare,Da misurare,Da creare,WhatsApp,Da definire,Costo come-funziona,Article,nessun contenuto attuale dedicato,creare guida utile,Media
/guide/preparare-casa/,Opportunità,preparare casa sgombero,oggetti da conservare,Da creare,Da misurare,Da creare,WhatsApp,Da definire,Casa ereditata foto,Article,non creare doorway,creare contenuto generale,Media
/zone-servite/{comune}/,Territoriale,sgombero comune,servizi locali,Da valutare,Da misurare,Da valutare,WhatsApp,Da definire,Hub zone,LocalBusiness non applicato,assenza dati specifici,NO CREATE finché non documentato,Alta
